Player,Offense,Defense,Ovr,Season
Nikola Jokic,7.61,2.18,9.79,2024
Shai Gilgeous-Alexander,7.46,1.02,8.49,2024
Joel Embiid,5.78,2.62,8.4,2024
Luka Doncic,7.41,0.68,8.08,2024
Paul George,5.05,2.07,7.12,2024
Donovan Mitchell,5.62,1.43,7.05,2024
Giannis Antetokounmpo,5.68,1.23,6.91,2024
Kawhi Leonard,5.26,1.59,6.85,2024
Jalen Brunson,7.04,-0.25,6.79,2024
LeBron James,5.32,1.38,6.71,2024
Kyrie Irving,6.21,-0.16,6.06,2024
Stephen Curry,6.2,-0.2,6,2024
Damian Lillard,5.86,0.09,5.95,2024
Jayson Tatum,5.17,0.72,5.88,2024
Devin Booker,6.53,-0.66,5.87,2024
Derrick White,3.66,2.18,5.84,2024
Tyrese Haliburton,6.62,-0.89,5.73,2024
Isaiah Hartenstein,2.24,3.25,5.49,2024
Draymond Green,1.07,4.42,5.49,2024
Fred VanVleet,4.03,1.41,5.45,2024
Kristaps Porzingis,3.29,2.09,5.38,2024
Anthony Davis,2.32,3.01,5.33,2024
Jonathan Isaac,1.98,3.27,5.25,2024
Jimmy Butler,4.68,0.34,5.03,2024
Lauri Markkanen,4.89,0.07,4.97,2024
Kevin Durant,4.02,0.92,4.94,2024
Anthony Edwards,3.94,0.98,4.92,2024
Alex Caruso,1.39,3.38,4.77,2024
Franz Wagner,2.51,2.2,4.71,2024
James Harden,4.96,-0.26,4.7,2024
De'Aaron Fox,4.99,-0.32,4.67,2024
Jrue Holiday,2.71,1.95,4.66,2024
Tyrese Maxey,5.13,-0.54,4.59,2024
OG Anunoby,1.79,2.8,4.59,2024
Rudy Gobert,0.94,3.61,4.55,2024
Robert Williams III,1.5,3.03,4.54,2024
Jordan McLaughlin,2.2,2.28,4.48,2024
Steven Adams,1.55,2.93,4.47,2024
Herbert Jones,2.12,2.29,4.41,2024
Jusuf Nurkic,0.9,3.43,4.33,2024
Domantas Sabonis,2.65,1.62,4.27,2024
Mike Conley,3.42,0.81,4.23,2024
Ja Morant,4,0.21,4.21,2024
Desmond Bane,3.92,0.28,4.2,2024
Neemias Queta,2.66,1.46,4.11,2024
Jarrett Allen,1.98,2.03,4.01,2024
Kevin Love,2.44,1.36,3.8,2024
Dean Wade,0.63,3.13,3.77,2024
Tre Jones,2.98,0.75,3.73,2024
Chris Paul,2.7,1.02,3.72,2024
Sam Hauser,2.76,0.94,3.7,2024
Bogdan Bogdanovic,3.96,-0.27,3.69,2024
Myles Turner,2.57,1.11,3.68,2024
Brook Lopez,0.83,2.72,3.55,2024
Jose Alvarado,2.03,1.52,3.55,2024
Aaron Gordon,1.98,1.55,3.54,2024
Jalen Williams,2.75,0.75,3.5,2024
Karl-Anthony Towns,2.69,0.8,3.5,2024
LaMelo Ball,4.71,-1.26,3.45,2024
Jamal Murray,4.51,-1.07,3.44,2024
T.J. McConnell,3.78,-0.36,3.42,2024
Marcus Smart,0.99,2.4,3.39,2024
Trae Young,4.84,-1.51,3.33,2024
DeMar DeRozan,3.83,-0.51,3.32,2024
Robert Covington,0.8,2.5,3.3,2024
Nikola Jovic,1.61,1.68,3.29,2024
Scotty Pippen Jr.,1.71,1.55,3.27,2024
Khris Middleton,2.68,0.57,3.25,2024
Clint Capela,1.17,2.07,3.24,2024
Pascal Siakam,3.3,-0.1,3.19,2024
De'Anthony Melton,2.34,0.84,3.18,2024
Tari Eason,1.26,1.9,3.16,2024
Kentavious Caldwell-Pope,1.87,1.25,3.12,2024
Mark Williams,2.18,0.93,3.11,2024
Daniel Gafford,1.76,1.35,3.11,2024
Zion Williamson,2.83,0.28,3.11,2024
Otto Porter Jr.,1.15,1.95,3.09,2024
Immanuel Quickley,2.61,0.48,3.09,2024
Al Horford,2.09,0.99,3.09,2024
Obi Toppin,3.26,-0.17,3.09,2024
Jalen Suggs,1.23,1.83,3.06,2024
Michael Porter Jr.,3.06,-0.03,3.03,2024
Delon Wright,1.74,1.26,3,2024
Darius Garland,2.76,0.21,2.97,2024
Wendell Carter Jr.,0.77,2.2,2.96,2024
Kenrich Williams,0.97,1.98,2.95,2024
Keegan Murray,2.24,0.68,2.92,2024
Goga Bitadze,1.07,1.85,2.92,2024
Javonte Green,1.56,1.36,2.92,2024
Jock Landale,1.13,1.74,2.87,2024
Trey Murphy III,2.33,0.52,2.85,2024
Keon Ellis,1.45,1.37,2.83,2024
Kevon Looney,1.41,1.42,2.82,2024
Bam Adebayo,0.02,2.74,2.76,2024
Alperen Sengun,1.99,0.76,2.76,2024
Luke Kornet,1.94,0.8,2.75,2024
D'Angelo Russell,3.45,-0.71,2.74,2024
Cameron Johnson,2.18,0.54,2.72,2024
Tyler Herro,2.79,-0.07,2.72,2024
Royce O'Neale,1.44,1.24,2.68,2024
Larry Nance Jr.,0.64,2.04,2.68,2024
Andre Drummond,1.33,1.35,2.68,2024
Isaiah Joe,2.6,0.05,2.65,2024
Josh Hart,1.18,1.46,2.65,2024
Blake Griffin,0.46,2.18,2.64,2024
Sam Merrill,2.65,-0.04,2.61,2024
Grayson Allen,2.6,-0.01,2.58,2024
Jakob Poeltl,0.98,1.59,2.57,2024
Kyle Lowry,0.93,1.62,2.55,2024
Brandon Ingram,2.58,-0.05,2.53,2024
Jalen Smith,2.97,-0.46,2.5,2024
Monte Morris,2.18,0.32,2.5,2024
Mitchell Robinson,0.88,1.59,2.47,2024
Coby White,3.77,-1.34,2.43,2024
Svi Mykhailiuk,2.07,0.35,2.42,2024
Mikal Bridges,1.83,0.59,2.42,2024
Kris Dunn,2.4,0.01,2.41,2024
Evan Mobley,0.17,2.23,2.4,2024
Kevin Huerter,2.95,-0.56,2.4,2024
Dwight Powell,1.29,1.08,2.37,2024
CJ McCollum,3.68,-1.31,2.37,2024
Paul Reed,1.6,0.77,2.37,2024
Gary Payton II,1.67,0.69,2.36,2024
Tobias Harris,1.44,0.92,2.36,2024
Payton Pritchard,3.54,-1.21,2.33,2024
Nickeil Alexander-Walker,1.37,0.96,2.33,2024
Brandon Clarke,0.86,1.4,2.26,2024
Donte DiVincenzo,2.83,-0.57,2.26,2024
Jaren Jackson Jr.,0.84,1.41,2.25,2024
Vince Williams Jr.,0.93,1.3,2.23,2024
Jaylen Brown,1.98,0.24,2.22,2024
Kemba Walker,2.12,0.09,2.21,2024
Trey Lyles,2.09,0.12,2.21,2024
Miles McBride,1.85,0.35,2.21,2024
Scottie Barnes,1.91,0.26,2.17,2024
Aaron Nesmith,1.9,0.27,2.16,2024
Ivica Zubac,-0.23,2.37,2.14,2024
Nicolas Batum,1.34,0.8,2.14,2024
Chris Boucher,1.97,0.16,2.13,2024
Julius Randle,2.27,-0.15,2.13,2024
Dejounte Murray,2.95,-0.84,2.11,2024
Jonas Valanciunas,1.36,0.75,2.11,2024
Spencer Dinwiddie,2.66,-0.56,2.1,2024
Moritz Wagner,2.01,0.06,2.07,2024
Joe Ingles,2.23,-0.19,2.04,2024
Luguentz Dort,1.6,0.43,2.03,2024
Austin Reaves,2.62,-0.59,2.03,2024
Bradley Beal,2.28,-0.26,2.02,2024
Dennis Smith Jr.,0.03,1.98,2.01,2024
Ben Simmons,0.88,1.11,1.99,2024
Ish Wainright,0.46,1.48,1.94,2024
Montrezl Harrell,1.71,0.23,1.94,2024
Terry Rozier,2.74,-0.83,1.91,2024
Deni Avdija,1.23,0.67,1.9,2024
Lindy Waters III,2.32,-0.43,1.89,2024
Walker Kessler,0.49,1.4,1.89,2024
Collin Sexton,4.49,-2.61,1.88,2024
Aaron Wiggins,1.44,0.44,1.88,2024
John Konchar,0.23,1.63,1.86,2024
Dyson Daniels,0.72,1.13,1.85,2024
Isaiah Jackson,1.08,0.76,1.84,2024
Bol Bol,0.63,1.21,1.84,2024
Zach LaVine,1.57,0.27,1.83,2024
Jalen Duren,0.95,0.88,1.83,2024
Max Strus,1.18,0.63,1.81,2024
Alex Len,-0.27,2.06,1.78,2024
Nic Claxton,0.07,1.63,1.7,2024
Malcolm Brogdon,2.32,-0.63,1.68,2024
Isaiah Stewart,-0.02,1.68,1.66,2024
Kelly Olynyk,2.07,-0.42,1.65,2024
Aaron Holiday,1.46,0.16,1.62,2024
Tyus Jones,3.39,-1.79,1.6,2024
Dillon Brooks,0.65,0.95,1.6,2024
Luka Garza,2.31,-0.74,1.58,2024
Andre Iguodala,-0.07,1.64,1.57,2024
Jaylin Williams,0.21,1.33,1.54,2024
Nerlens Noel,-1.59,3.13,1.54,2024
Josh Okogie,0.42,1.12,1.53,2024
Facundo Campazzo,0.54,0.98,1.52,2024
Rui Hachimura,1.26,0.21,1.47,2024
Mason Plumlee,0.32,1.13,1.45,2024
Luke Kennard,2.35,-0.9,1.44,2024
Derrick Jones Jr.,0.07,1.36,1.43,2024
Isaac Okoro,1.09,0.33,1.42,2024
Day'Ron Sharpe,1.07,0.32,1.39,2024
Orlando Robinson,0.3,1.09,1.39,2024
Naz Reid,0.29,1.1,1.39,2024
Jared Butler,1.81,-0.43,1.38,2024
Naji Marshall,0.87,0.49,1.35,2024
Dorian Finney-Smith,0.48,0.87,1.35,2024
Matisse Thybulle,0.05,1.26,1.31,2024
Buddy Hield,2.04,-0.74,1.31,2024
Frank Kaminsky,1.27,0.03,1.3,2024
Anfernee Simons,3.87,-2.56,1.3,2024
Dario Saric,1.48,-0.2,1.28,2024
Ricky Rubio,-0.16,1.43,1.28,2024
Jonathan Kuminga,1.22,0.05,1.28,2024
Moses Moody,0.99,0.29,1.28,2024
Terence Davis,1.79,-0.52,1.27,2024
George Hill,0.32,0.93,1.25,2024
Cade Cunningham,1.92,-0.68,1.24,2024
Charles Bassey,0.45,0.78,1.23,2024
Jae'Sean Tate,-0.88,2.08,1.2,2024
Hamidou Diallo,-0.01,1.18,1.18,2024
Devin Vassell,1.32,-0.14,1.18,2024
Julian Champagnie,0.87,0.3,1.17,2024
Cameron Payne,1.49,-0.32,1.17,2024
Marvin Bagley III,0.75,0.41,1.16,2024
Jalen Johnson,0.38,0.77,1.16,2024
Gary Harris,1.1,0.04,1.14,2024
Deandre Ayton,-0.38,1.51,1.12,2024
Dru Smith,0.2,0.92,1.12,2024
Tre Mann,0.76,0.32,1.09,2024
AJ Green,1.81,-0.76,1.05,2024
Caleb Martin,0.52,0.53,1.05,2024
Anthony Lamb,0.87,0.18,1.05,2024
Thaddeus Young,1.06,-0.03,1.02,2024
Caris LeVert,1.34,-0.33,1.02,2024
Duncan Robinson,1.59,-0.6,0.99,2024
Simone Fontecchio,0.96,0.03,0.99,2024
Onyeka Okongwu,1.5,-0.52,0.98,2024
Dalen Terry,0.32,0.65,0.97,2024
Trevelin Queen,-0.42,1.38,0.96,2024
Tony Bradley,-0.86,1.81,0.94,2024
Terance Mann,1.66,-0.73,0.92,2024
Moussa Diabate,0.49,0.41,0.9,2024
Jarred Vanderbilt,0.11,0.78,0.88,2024
Christian Koloko,-0.93,1.75,0.82,2024
Jordan Goodwin,-0.01,0.82,0.81,2024
Kyle Anderson,-0.34,1.13,0.79,2024
