"","Player","OffenseMamba","DefenseMamba","Mamba","Season"
"1","Stephen Curry",8.628,-2.439,11.067,2015
"2","Chris Paul",7.392,-2.318,9.71,2015
"3","LeBron James",7.155,-2.084,9.239,2015
"4","James Harden",7.616,-0.857,8.473,2015
"5","George Hill",6.008,-2.253,8.261,2015
"6","Kevin Durant",6.501,-1.542,8.043,2015
"7","Anthony Davis",4.229,-3.78,8.009,2015
"8","Kawhi Leonard",2.898,-4.667,7.564,2015
"9","Russell Westbrook",6.579,-0.707,7.285,2015
"10","Kyle Lowry",4.15,-2.415,6.565,2015
"11","Draymond Green",1.321,-4.566,5.886,2015
"12","Danny Green",2.864,-2.884,5.748,2015
"13","Ricky Rubio",2.236,-3.384,5.619,2015
"14","John Wall",3.417,-1.929,5.346,2015
"15","Klay Thompson",4.278,-0.857,5.136,2015
"16","Jimmy Butler",3.8,-1.165,4.965,2015
"17","Eric Bledsoe",1.304,-3.807,5.111,2015
"18","Damian Lillard",4.544,-0.303,4.846,2015
"19","Mike Conley",3.494,-1.351,4.844,2015
"20","Tony Allen",-0.264,-5.277,5.013,2015
"21","Jrue Holiday",2.825,-2.001,4.826,2015
"22","Kyle Korver",3.98,-0.713,4.693,2015
"23","Khris Middleton",2.008,-2.706,4.713,2015
"24","Darren Collison",3.033,-1.493,4.527,2015
"25","Kyrie Irving",4.173,-0.223,4.395,2015
"26","Wesley Matthews",2.744,-1.657,4.402,2015
"27","Carmelo Anthony",4.448,0.352,4.097,2015
"28","DeMarcus Cousins",-0.166,-4.465,4.299,2015
"29","Ty Lawson",4.743,0.771,3.972,2015
"30","Monta Ellis",2.008,-2.099,4.107,2015
"31","LaMarcus Aldridge",2.505,-1.553,4.059,2015
"32","Gordon Hayward",3.365,-0.635,4,2015
"33","Devin Harris",2.917,-1.091,4.009,2015
"34","Kemba Walker",2.135,-1.738,3.873,2015
"35","Manu Ginobili",2.191,-1.664,3.855,2015
"36","Tiago Splitter",0.467,-3.487,3.954,2015
"37","Tim Duncan",0.365,-3.582,3.947,2015
"38","Deron Williams",3.098,-0.673,3.77,2015
"39","Jeff Teague",1.77,-2.069,3.84,2015
"40","Robert Covington",2.445,-1.265,3.711,2015
"41","Kevin Love",2.096,-1.612,3.708,2015
"42","Isaiah Thomas",4.604,1.109,3.495,2015
"43","Michael Kidd-Gilchrist",0.071,-3.633,3.703,2015
"44","Mike Dunleavy",1.4,-2.223,3.623,2015
"45","Derrick Favors",0.521,-3.143,3.665,2015
"46","JJ Redick",3.265,-0.178,3.443,2015
"47","Goran Dragic",3.746,0.36,3.386,2015
"48","Serge Ibaka",0.043,-3.496,3.54,2015
"49","C.J. Watson",1.691,-1.744,3.435,2015
"50","Nikola Mirotic",1.984,-1.367,3.351,2015
"51","Matt Barnes",2.124,-1.175,3.299,2015
"52","Paul Pierce",1.279,-2.035,3.314,2015
"53","DeAndre Jordan",1.09,-2.219,3.31,2015
"54","Blake Griffin",2.702,-0.405,3.108,2015
"55","Patty Mills",2.012,-1.034,3.045,2015
